restaurant_name,rating,address,cuisine,postal_code
Mamu Kitchen,3.1,1 Bedok Road; #01-25 Bedok Food Centre 469572,Malaysian,469572
New Good Place Eating House,3.2,2 Lorong 23 388353,Chinese,388353
Guan Hiang Confection,3.2,22 Lorong 7; #01-22 Kim Keat Palm Market; Toa Payoh 310022,Chinese,310022
Sin Keow Restaurant,3.2,324 Bukit Batok; #01-31,Chinese,#01-31
Zheng Herbal Tea,3.2,68 Orchard Road; #B2-49 Plaza Singapura 238839,Juices,238839
Seng Huat Prawn Noodle Soup,3.2,6 Jalan Bukit Merah; #01-105 ABC Brickworks Food Centre 150006,Chinese,150006
Ban Heng Coffee Stall,3.2,20 Ling Lane; #01-27 Food Centre 730020,Juices,730020
Ming Hui Coffee Stall,3.2,79/79A Circuit Road; #01-99 ﻿ Circuit Road Hawker Centre,Juices,Centre
Shanghai Noodle/ Lor Mee,3.2,117 Aljunied Avenue 2; #01-64 ﻿ Aljunied Market & Food Centre 380117,Chinese,380117
Fu Ji,3.2,724 Ang Mo Kio Avenue 6; #01-45 Food Centre 560724,Chinese,560724
Fortune Popiah & Kueh Pei Ti,3.2,80 Marine Parade Road; #B1-85 to 87 & #B1-112 to 146 Food Republic @ Parkway Parade 449269,Peranakan,449269
Thien Kee Steamboat Restaurant,3.5,6001 Beach Road; B1-20 Golden Mile Tower 199589,Chinese,199589
Pontian Express,3.1,1 Bukit Batok Central Link; #02-10a West Mall 658713,Malaysian,658713
Hiap Li,3.5,527 Ang Mo Kio Avenue 10; #01-124 Cooked Food Centre 560527,Chinese,560527
Hai San Cooked Food,3.1,254 Jurong East Street 24; #01-31 Yuhua Village Market 600254,Chinese,600254
Choon Lai Cooked Food,3.1,105 Yishun Ring Road; #01-151 Chong Pang Food Centre,Chinese,Centre
Dong Jin Yuan Dian Xin,3.1,105 Hougang Avenue 1; #02-04 Hainan Village Hawker Centre 530105,Chinese,530105
Xin Kee Hainan Traditional Food,3.1,51 Old Airport Road; #01-105 Centre 390051,Hainanese,390051
Wellness Peranakan Restaurant,3.1,2 Joo Chiat Road; #03-1111 Joo Chiat Complex 420002,Peranakan,420002
Bismillah Tawakallah Berkat Cahaya,3.1,3 Yung Sheng Road; #03-162 Taman Jurong Market and Food Centre 618499,Malaysian,618499
Hong Kong Mei Mei,3.1,511 Bedok North Street 3; #01-30 Market Food Centre; Bedok 460511,Seafood,460511
Qi Lu Ren Jia,3.1,20 Lorong 11 Geylang 388712,Chinese,388712
Khen Seng Heng Coffee Stall,3.1,4a Eunos Crescent; #01-32 Food Centre 402004,Juices,402004
Rong Xing Fishball Noodle,3.1,29 Bendemeer Road; #01-50 Bendemeer Market Food Centre 330029,Seafood,330029
Ocean Spoon Dining,3.1,110 Tanah Merah Coast Road; ﻿ SAF Yacht Club 498800,Seafood,498800
Fu Zhou Delight,3.2,17 Upper Boon Keng; 51 Upper Boon Keng Market 380017,Chinese,380017
Hiang Kee Nonya Kueh,3.1,58 New Upper Changi Road; #01-159 Hawker Centre; Changi 461058,Peranakan,461058
Handmade Ban Mian,3.1,49 Sims Place; 45 Sims Vista Market 380049,Chinese,380049
Chai Kee,3.1,531a Upper Cross Street; #01-69 Food Centre 051531,Chinese,051531
Little Anson,3.1,324 Changi Road 419799,Chinese,419799
Diao Ji Gang Shi Shao La,3.1,347 Ang Mo Kio Avenue 3; #01-2142,Chinese,#01-2142
Li Fang Zhou Pin,3.2,347 Jurong East Avenue 1; #01-206 Yuhua Market and Hawker Centre 600347,Chinese,600347
Bedok Soya Bean Drink,3.4,216 Bedok North Street 1; #01-10 Market and Food Centre 460216,Beverages,460216
Ali Drinks Stall,3.2,270 Queen Street; #01-125 Albert Centre Market & Food Centre 180270,Juices,180270
Ang Shi Xiao Chao,3.2,93 Toa Payoh; #01-45 Hawker Centre; Toa Payoh 310093,Chinese,310093
Soon Eastern Restaurant,3.2,15 Woodlands Loop; #04-55 Woodlands East Industrial Park,Chinese,Park
Malan Noodle,3.2,1 Expo Drive; #01-41 Singapore Expo 486150,Chinese,486150
The Herbal Bar,3.2,9 Raffles Place; B1-07 Republic Plaza 048619,Chinese,048619
21 Coffee Stall,3.2,21 Ling Lane; #01-117 Market 730021,Juices,730021
Pioneer Spring,3.2,2 Telok Blangah Way; #02-95 ﻿ SAFRA Mount Faber 098803,Seafood,098803
Moh Heng Coffee Stall,3.2,22 Lorong 7 Toa Payoh; #01-04 Kim Keat Palm Market and Food Centre 310022,Juices,310022
Hong Guan,3.2,254 Jurong East Street 24; #01-49 Yuhua Village Market 600254,Chinese,600254
Seah Coffee Stall,3.2,22 Lorong 7 Toa Payoh; #01-53 ﻿ Kim Keat Palm Market & Food Centre 310022,Juices,310022
126 Veg Rice,3.2,51 Hougang Avenue 9; #01-11 Ci Yuan 538776,Chinese,538776
Original Fish Village,3.2,3 Gateway Drive; #b1-28/29 Westgate 608532,Chinese,608532
Chusan Bar & Restaurant,3.2,16 Jalan Selaseh 808440,Chinese,808440
Far East Chicken Rice,3.2,350 Ubi Avenue 1,Asian,1
Carvery Bistro,3.2,430 Upper Changi Road; East 487048,Chinese,487048
Kampong Chicken Restaurant,3.2,224 Tanjong Katong Road 437014,Hainanese,437014
Charles & Pang,3.2,56 Bayshore Road; #01-01E Dolphina Clubhouse 469980,Chinese,469980
Ah Soon Pig Organ Soup,3.2,373 Balestier Road 329789,Chinese,329789
Senoko Foods,3.2,37 Tannery Lane; #01-06 Tannery H 347790,Chinese,347790
Sarawak Cuisine,3.2,17 Upper Boon Keng; 54 Upper Boon Keng Market & Food Centre 380017,Indonesian,380017
Bai Li Cooked Food,3.2,538 Bedok North Street 3; 01-32 Bedok North Market Food Centre 460538,Chinese,460538
Li Self-make Noodle,3.2,4a Woodlands Centre Road; #02-27 Food Centre; Woodlands 731004,Chinese,731004
Heong Hock Cafe,3.2,36 Circuit Road; #01-418 370036,Chinese,370036
Baidu Barbeque,3.2,23 Ddle Road; #01-01 Chua Chek Tien Building 188933,BBQ,188933
24 Bbq Seafood Steamed Seafood,3.2,1220 East Coast Parkway; #01-24 East Coast Lagoon Food Village 468960,Seafood,468960
Pontian Wanton Noodles,3.5,84 Marine Parade Central; #01-167 440084,Malaysian,440084
Lai Heng,3.3,115 Bukit Merah Central,Chinese,Central
Soon Lee Mushroom Minced Pork Noodle,3.3,41A Cambridge Road; #01-22 Pek Kio Market; 211041,Chinese,211041
Saigon Baguette,3.5,3 Temasek Boulevard; #03-348/349 Suntec City Mall 038983,Sandwich,038983
Cheok Kee Boneless Braised Duck,3.3,69 Geylang Bahru; #01-2841 Geylang Bahru Market and Food Centre 330069,Chinese,330069
Tian Xia Seafood Restaurant,3.3,298 Jalan Besar; #01-02 208959,Chinese,208959
Chikuyo Japanese Cuisine,3.3,51 Upper Bukit Timah Road; #02-161 588172,Japanese,588172
Ali's Corner,3.3,1 Geylang Serai; #02-159 Geylang Serai Market and Food Centre 402001,Malaysian,402001
Yam's Kitchen,3.3,4 Jalan Leban; Upper Thomson Road 577548,Chinese,577548
Hon Ni Kitchen,3.5,216 Bedok North Street 1; #01-07 Market Food Centre 460216,Chinese,460216
Hup Lee Fried Bee Hoon,3.3,10 Yishun Avenue 5,Chinese,5
Punggol Jing Long Seafood,3.3,3 Punggol Point Road; #01-03 The Punggol Settlement 828694,Seafood,828694
Pig's Organ Soup & Kway Chap,3.3,18 Raffles Quay; Stall 14 Lau Pa Sat Festival Market 048582,Chinese,048582
Chicken House,3.3,17 Lorong Kilat; #01-01 Kilat Court 598139,Hainanese,598139
Beijing Neng Ren Ju,3.3,733 Geylang Road 389644,Chinese,389644
Old Fukien Noodles,3.1,115 Bukit Merah View; #01-81 Bukit Merah View Market & Hawker Centre 151115,Hokkien,151115
Kee Hiong Food Stall,3.1,221 Boon Lay Place; #01-149 Food Village 642221,Thai,642221
An Ji,3.1,335 Smith Street; #02-193/194 Chinatown Complex Market 050335,Seafood,050335
Ng Yes Boss,3.1,1 Geylang Serai; #02-141 Food Centre; Geylang 402001,Malaysian,402001
Bukit Merah View Roasted Chicken Rice,3.1,115 Bukit Merah View; #01-20 Hawker Centre 151115,Chinese,151115
Hajjah Ratmah,3.1,17 Upper Boon Keng; #01-07 Upper Boon Keng Market and Food Centre 380017,Malaysian,380017
Little Hanoi Noodle Bar,3.1,3 Gateway Drive; #B1 Westgate 608532,Chinese,608532
Soyfresh,3.1,505 Jurong West Street 52; #01-42 Jurong West Food Centre 640505,Beverages,640505
Seletar Coffee,3.1,90 Whampoa Drive; #01-20 Makan Place 320090,Juices,320090
Amazing Braised Duck Rice,3.1,17 Upper Boon Keng; 65 Upper Boon Keng Market & Food Centre 380017,Chinese,380017
Fu Lu Sho,3.1,117 Aljunied Avenue 2; #01-33 Food Centre 380117,Chinese,380117
Teo Heng,3.1,7 Maxwell Road; #01-27 Amoy Street Food Centre 069111,Teochew,069111
Original Homemade Soya Milk / Chin Chow,3.1,20 Ghim Moh Road; #01-02 Ghim Moh Market Food Centre 270020,Beverages,270020
Teck Kee Cooked Food,3.1,254 Jurong East Street 24; #01-15 Yuhua Village Market 600254,Chinese,600254
Eng Ho Hup,3.1,22 Sin Ming Road 570022,Chinese,570022
Yu Kee,3.1,254 Jurong East Street 24; #01-37 Yuhua Village Market 600254,Chinese,600254
Chwee Hua Mixed Vegetable Rice Porridge,3.1,221 Boon Lay Place; #01-154 Food Village 642221,Chinese,642221
Ding Ji,3.1,280 Bishan Street 24; #01-24 570280,Chinese,570280
Hana,3.1,503 West Coast Drive; #01-69 Ayer Rajah Food Centre 120503,Malay,120503
Alex Poon,3.1,347 Jurong East Avenue 1; #01-196 Hawker Centre 600347,Chinese,600347
Yu Yuan,3.1,31 Smith Street 058945,Chinese,058945
Koon Fong,3.1,216 Bedok North Street 1; #01-03 Market Food Centre 460216,Juices,460216
Ann's Choice,3.1,4A Woodlands Centre Road; #02-02 Food Centre 731004,Chinese,731004
Angel Horse Teochew Fish Soup,3.2,270 Queen Street; #01-95 Albert Centre Market & Food Centre 180270,Seafood,180270
Hao You Xiao Shi,3.1,117 Aljunied Avenue 2; #01-04 Food Centre 380117,Seafood,380117
Lao Ma Qing Tang,3.1,271 Onan Road; 11 Dunman Food Centre 424768,Chinese,424768
Favfood,3.1,4A Jalan Batu Market; #01-02 Food Centre 432004,Chinese,432004
Sam's Kitchen,3.1,115 Bukit Merah View; #01-345 Bukit Merah View Market & Food Centre 151115,Chinese,151115
Koon Coffee,3.1,117 Aljunied Avenue 2; #01-29 Food Centre 380117,Chinese,380117
House Of Gandos,3.5,1 Geylang Serai; #02-157 Market Food Centre; Geylang 402001,Malaysian,402001
Sin Chwee Seafood Restaurant,3.1,374 Bukit Batok Street 31; #01-192 650374,Seafood,650374
Hup Hua,3.1,221 Boon Lay Place; #01-120 Food Village 642221,Teochew,642221
Alham,3.1,4a Eunos Crescent; #01-01 Food Centre 402004,Malaysian,402004
Gillman Seafood,2.6,1003 Bukit Merah Central; #01-3752 159836,Seafood,159836
Hong Hong Snack House,3.2,810 Geylang Road; #02-57 City Plaza 409286,Chinese,409286
Rong Teochew Fish Porridge,3.2,7 Maxwell Road; #01-12 Amoy Street Food Centre 069111,Teochew,069111
Pantai Seafood Village,3.2,200 Turf Club Road; #03-05 Turf City 287994,Seafood,287994
Du Du Cooked Food,3.5,505 Jurong West Street 52; #01-19 Blk 505 Jurong West Food Centre 640505,Chinese,640505
Sheng Li Coffee Corner,3.2,69 Geylang Bahru; #01-2849 Geylang Bahru Market and Food Centre 330069,Juices,330069
Assalamualaikum Batcha Stall,3.2,503 West Coast Drive; #01-64 Ayer Rajah Food Centre 120503,Malaysian,120503
New Dragon Herbal Steamboat,3.2,142 Sims Avenue 387464,Chinese,387464
Lao Fu Zhi Cooked Food,3.2,254 Jurong East Street 24; #01-21 Yuhua Village Market 600254,Chinese,600254
Marquni Food,3.2,347 Jurong East Avenue 1; #01-193 Hawker Centre 600347,Malaysian,600347
Yue Yi Tai Shan Popiah,3.2,449 Clementi Avenue 3 120449,Malay,120449
Beijing Steamboat,3.2,513 Geylang Road 389469,Chinese,389469
Zhu Zi Jia Yan,3.2,520 Mac Pherson Road 368213,Chinese,368213
Wak Ju & Family,3.2,7 Maxwell Road; #01-65 Amoy Street Food Centre 069111,Chinese,069111
Fishball Delicacy,3.2,207 New Upper Changi Road; #01-10 Bedok Interchange Food Centre,Chinese,Centre
Pine Court,3.4,333 Orchard Road; Mandarin; Orchard 238867,Chinese,238867
Lian Peng Bak Kut Teh,3.4,2 Jurong East Street 21; #02-38 Imm 609601,Teochew,609601
Tuckshop,3.2,1 Fusionopolis Walk; #01-13 138628,Chinese,138628
Ponggol Seafood,3.4,3 Punggol Point Road; # The Settlement 01 08 09; The Punggol Settlement; Punggol 828694,Seafood,828694
Lao San Kway Chap,3.1,Kebun Baru Palm View; #01-1222; 3; 232 Ang Mo Kio Avenue 3; Block 232 560232,Chinese,560232
Sunto Gyoza,3.5,1 Kadayanallur Street; #01-81 Maxwell Food Centre 069184,Chinese,069184
Mini Wok Kitchen,3.1,6 Jalan Bukit Merah; #01-15 Abc Brickworks Food Centre 150006,Seafood,150006
Wei Xuang Hokkien Prawn Mee,3.1,20 Ghim Moh Road; #01-27 Market Food Centre 270020,Chinese,270020
H K S Bedok Restaurant,3.1,18 Bedok South Road; #01-87 460018,Chinese,460018
Citi Snack House,3.2,810 Geylang Road; #02-40 City Plaza 409286,Chinese,409286
Kwang Kee Teochew Fish Porridge,3.1,500 Clemenceau Ave North #01-20 Newton Circus Food Centre 229495,Teochew,229495
Kok Chan Hot & Cold Drink,3.2,7 Empress Road; #01-69 Empress Road Market and Food Centre 260007,Juices,260007
East Seafood White,3.2,Block 210 Toa Payoh Lorong 8; #01-48 310210,Chinese,310210
Yong Xiang Economical Beehoon,3.2,20 Marsiling Lane; #01-04 Food Centre 730020,Chinese,730020
Pure Restaurant,3.2,6001 Beach Road; #01-56 Golden Mile Tower 199589,Thai,199589
Hai Swee Restaurant,3.2,46 Lorong 1 Realty Park 536961,Chinese,536961
Happy 9,3.2,8 Sentosa Gateway; Resorts World; Sentosa 098270,Chinese,098270
Fried Carrot Cake Fried Kway Teow,3.4,117 Aljunied Avenue 2; #01-20 Food Centre 380117,Chinese,380117
Lao Yao,3.2,58 New Upper Changi Road; #01-194 Hawker Centre; Changi 461058,Chinese,461058
G T Restaurant,3.2,151 Serangoon North Avenue 2; #01-27 550151,Chinese,550151
Eng Soon Hua Eating House,3.2,9 Toa Payoh Industrial Park 319061,Chinese,319061
Four Seas Gourmet,3.2,1 Sophia Road; #02-01/02 Peace Centre 228149,Seafood,228149
Bukit Merah View Economical Mixed Veg,3.2,115 Bukit Merah View; #01- Bukit Merah View Hawker Centre 151115,Chinese,151115
Lian Fa,3.2,726 Clementi West Street 2; #01-137 Clementi West Market Food Centre 120726,Chinese,120726
Geylang Corner Food Stall,3.2,1 Geylang Serai; #02-121 Food Centre; Geylang 402001,Malaysian,402001
Guilin Restaurant,3.2,2 Bukit Batok West Avenue 7; #01-06 Home Team Ns Bt. Batok Clubhouse 659003,Chinese,659003
Guan Guan Seafood,3.5,47 Tanglin Halt Road; #01-311 141047,Chinese,141047
Hajjah Rokiah,3.2,503 West Coast Drive; #01-25 Ayer Rajah Food Centre 120503,Malaysian,120503
Yong's Cooked Food,3.2,80 Airport Boulevard; Airport Terminal; Changi 819642,Chinese,819642
Hao Hua Cooked Food,3.2,335 Smith Street; #02-120 Chinatown Complex Market 050335,Chinese,050335
Shen Ji Wantan Noodles,3.2,18 Bedok South Road; #01-45 Hong Soon Food Court 469276,Chinese,469276
Shang Hai Chee Cheong Fen,3.5,335 Smith Street; #02-174 Chinatown Complex Market 050335,Chinese,050335
Yong Seng,3.2,500 Clemenceau Avenue North; #01-42 Newton Circus Food Centre 229495,Chinese,229495
Kedai Mak Nyai,3.2,49 Sims Place; # Sims Vista Market 380049,Malaysian,380049
Bismillahirahmanirahim,3.2,37A Teban Garden; #01-25 Teban Gardens Market 601037,Malaysian,601037
Pontian Wanton Noodles,3.3,105 Yishun Ring Road; #01-132 Chong Pang Food Centre,Malaysian,Centre
Pontian Wanton Noodles,3.5,448 Clementi Avenue 3; #01-48 Clementi Market & Food Centre 120448,Malaysian,120448
Huale F&b,3.3,603 Sin Ming Avenue; 575735,Seafood,575735
Lai Seng Cooked Food,3.3,254 Jurong East Street 24; #01-02 Yuhua Village Market 600254,Chinese,600254
Lai Xing Cooked Food,3.3,105 Hougang Avenue 1; #02-09 Hainanese Village Centre 530105,Chinese,530105
Yong Xiang,3.3,69 Geylang Bahru; #01-2843 Food Centre; 330069,Teochew,330069
Hong Wen Mutton Soup,3.3,144 Upper Bukit Timah Road; Level 4 D Centre,Chinese,Centre
Western Delight,3.3,69 Geylang Bahru; #01-2809 Food Centre; 330069,Chinese,330069
Low Seng Kim,3.3,216 Bedok North Street 1; #01-06 Market Food Centre 460216,Peranakan,460216
Teochew Kway Chap,3.3,79/79A Circuit Road; #01-22 Food Centre,Teochew,Centre
Traditional Hainanese Chicken Rice,3.3,6 Tanjong Pagar Plaza; #02-16 Market & Food Centre; 081006,Hainanese,081006
Min Hiang,3.3,50 Market Street; #02-13 Food Centre 048940,Chinese,048940
Sin Ho Seafood,3.3,515 Bedok North Avenue 2; #01-181 Kaki Bukit Green; 460515,Seafood,460515
Ju Shi Fu Boneless Chicken Rice,3.3,11 Telok Blangah Crescent; #01-119; Telok Blangah Crescent Market Food Centre; 090011,Hainanese,090011
Funan Weng,3.3,12 Marina Boulevard; #02-01 Marina Bay Financial Centre 018982,Chinese,018982
Ichiban Bento,3.3,1 Woodlands Square; #B1-17 Causeway Point 738099,Sushi,738099
Hainanese Chicken Rice,3.3,117 Aljunied Avenue 2; #01-06 Food Centre 380117,Hainanese,380117
Foon's Thai Recipe,3.1,51 Old Airport Road; #01-65 Market & Hawker Centre 390051,Thai,390051
Warong Mak Ning,3.1,1 Geylang Serai; #02-113 Market & Food Centre 402001,Malaysian,402001
Hong Hu Holdings,3.1,143 Teck Whye Lane; #01-245 680143,Japanese,680143
Duo Ji,3.1,335 Smith Street; #02-216 Chinatown Complex Market 050335,Chinese,050335
Dawood Drink Stall,3.1,16 Bedok South Road; #01-157 Bedok South Market Food Centre 460016,Juices,460016
Le An,3.1,226H Ang Mo Kio Street 22; #01-22 Kebun Baru Food Centre 568226,Chinese,568226
Tai Sun Coffee,3.1,7 Maxwell Road; #02-121 Amoy Street Food Centre 069111,Juices,069111
Yu Yuan Vegetarian Stall,3.1,22 Lorong 7 Toa Payoh; #01-37 Kim Keat Palm Market; Toa Payoh 310022,Chinese,310022
Taste Foodcity,3.1,8 Tampines Central 1; #01-18 Eastlink 529543,Indonesian,529543
Kim Kee Vegetarian Food,3.1,112 Jalan Bukit Merah; #01- Food Centre; Bukit Merah 160112,Chinese,160112
Chew Ting Siow,3.1,27 Bendemeer Road; #01-645 Bendemeer Shopping Mall 330027,Chinese,330027
Yu Jia Zhuang,3.1,628 Ang Mo Kio Avenue 4; #01-78; Ang Mo Kio 560628,Chinese,560628
Pfs,3.1,201 Keppel Road; Prima Tower 099419,Chinese,099419
Xing Fa,3.1,631 Bedok Reservoir Road; #01-886 470631,Chinese,470631
Hock Siang Leong Restaurant,3.1,202 Ang Mo Kio Avenue 3; #01-1690 560202,Chinese,560202
Kian Lai Heng Restaurant,3.1,5 Ang Mo Kio Industrial Park 2A; #02-17 AMK Tech 567760,Chinese,567760
Uncle Kun Delicacies,3.1,74 Lorong 4 Toa Payoh; #01-03; Market & Hawker Centre 310074,Chinese,310074
Warong 170,3.2,1 Geylang Serai; #02-127 Geylang Sarai Food Centre 402001,Indonesian,402001
Nur Rezki,3.2,50a Marine Terrace; #01-305 Marine Parade Food Centre 441050,Malaysian,441050
Heng Snack Bar,3.2,865 Mountbatten Road; #01-29 Katong Shopping Centre 437844,Chinese,437844
Singplus Restaurant,3.2,508 Macpherson Road 368207,Hainanese,368207
Suan Kee Seafood,3.2,500 Clemenceau Avenue; #01-76 Newton Circus Food Centre 229495,Seafood,229495
Ann Le Xiang Rojak,3.2,116 Upper Bukit Timah Road; 152 Bukit Timah Market,Chinese,Market
Shan Cheng,3.3,726 Clementi West Street 2; #01-156 Clementi West Market Food Centre 120726,Chinese,120726
Hawa Restaurant,3.3,810 Geylang Road; #01-K1 City Plaza 409286,Seafood,409286
Heng Kee,3.3,418 Yishun Avenue 11; #01-385 Coffee Station; 760418,Chinese,760418
Tropical Drinks Station,3.2,117 Aljunied Avenue 2; #01-35 Aljunied Ave 2 Market and Food Centre 380117,Beverages,380117
Kallang Loy Kee,3.2,17 Upper Boon Keng; 64 Upper Boon Keng Market & Food Centre 380017,Hainanese,380017
Idaten Udon,3.2,5 Changi Business Park Central 1; #B1-12 City Point; Changi 486038,Teppanyaki,486038
Yi Kou Wei,3.3,4 Tampines Central 5; #B1-K12 Tampines Mall 529510,Asian,529510
Shan Yuan Vegetarian,3.3,105 Hougang Avenue 1; #02-03 Hainanese Village Centre; Hougang 530105,Hainanese,530105
Hock Kee Food Stall,3.3,1 Kadayanallur Street; #01-23 Maxwell Food Centre 069184,Chinese,069184
Noodle Cafe,3,1 Rochor Canal Road; #01-06 Sim Lim Square 188504,Thai,188504
Char,4.1,363 Jalan Besar 208994,Chinese,208994
Chuan Garden Restaurant,2.7,79 Pagoda Street 059238,Sichuan,059238
Hai Xian Zhu Zhou,3,163a Gangsa Road; #01-01 Choh Dee Place,Chinese,Place
Me At Oue,4.3,50 Collyer Quay; Level Oue The Rooftop Bayfront 049321,Chinese,049321
Ju Bao Hong Kong Cuisine,2.9,101 Thomson Road; #b1-15/16 United Square,Chinese,Square
Marina South Curry House,2.9,100 AM 100 Tras Street; #03-14 079027,Chinese,079027
Lao Jiang Superior Kway Teow Soup,2.9,2 Cheong Chin Nam Road 599727,Chinese,599727
Ma Bo Lor Mee,2.9,270 Queen Street; #01-67 Albert Centre 180270,Chinese,180270
Treasures Yi Dian Xin,2.8,252 North Bridge Road; #B1-37 Raffles City Shopping Centre; Downtown Core; Singapore 179103,Chinese,179103
Pao Xiang,2.6,444 Upper Bukit Timah Road; Rail Mall 678066,Malaysian,678066
Mui Tin Hiang Food Stall,3,221A/B Boon Lay Place; #01-118 Food Village 642221,Teochew,642221
Choon Seng Hng Restaurant,2.6,1 Choa Chu Kang Grove; #02-02 ITE College West 688236,Chinese,688236
Macau Express,2.6,1 Expo Drive; #01-43 Singapore Expo 486150,Chinese,486150
Chua Seng Huat Seafood Restaurant,2.5,9 Toa Payoh Industrial Park; #01-1209 319061,Seafood,319061
9 Goubuli,2.8,2 Bayfront Avenue; B2-02 Canal Level; The Shoppes At Marina Bay Sands 018972,Chinese,018972
Min Xing Mei Shi,2.9,32 New Market Road; #01-1150 People'south Park Complex Food Centre 050032,Chinese,050032
Bukit Room,2.9,240 Sime Road; Level Singapore Island Country Club 288303,Chinese,288303
Sakura Cuisine,2.8,14 Scotts Road; #05-36 Far East Plaza 228213,Thai,228213
Earth Kitchen,3,10 Anson Road; #01-50A International Plaza 079903,Chinese,079903
Kublai Khan Mongolian Bbq Restaurant,2.6,9 Penang Road; #04-01 Park Mall 238459,BBQ,238459
Hong Kong Egglet,2.9,1 Woodlands Square; #01-k10 Causeway Point 738099,Chinese,738099
Yi Jia Chun,3,24 Raffles Place; #B1-03 Clifford Centre 048621,Chinese,048621
Hai Siang Joo Seafood Restaurant,2.9,29 Tuas West Avenue; Pioneer Food Village 638427,Seafood,638427
Jin Fu Seafood Restaurant,2.6,844 Tampines Street 82; #01-131 520844,Seafood,520844
Hainanese Chicken Rice & Curry Chicken Noodle,2.9,505 Beach Road; #B1-53 Golden Mile Food Centre 199583,Hainanese,199583
Music Cafe by Swee Lee,2.8,2 Orchard Link 237978,Fusion,237978
Penang Hai Beng Hainan Lor Mee,2.8,8 Sentosa Gateway; Level 01 Resorts World; Sentosa 098269,Hokkien,098269
Guang Xing Original Taste Fish Head Bee Hoon,2.7,2 Changi Village Road #01-31 Changi Village Hawker Centre 500002,Seafood,500002
Jin Xiang Ji Seafood Restaurant,2.9,134 Casuarina Road 579522,Seafood,579522
Ah Seah Teochew Porridge,2.7,9 Yio Chu Kang Road; Kovan Centre 545523,Teochew,545523
Udon King,2.7,53 Ang Mo Kio Avenue 3; #B1-22 Amk Hub 569933,Chinese,569933
Yuet Loy,2.9,335 Smith Street; #02-151 Chinatown Complex Market 050335,Seafood,050335
Pontian Wanton Noodles,2.7,20 New Upper Changi Road; #01-32 Bedok Interchange Food Centre,Malaysian,Centre
Xing Hua Restaurant,2.9,276 Race Course Road 218628,Chinese,218628
Darul Aman,2.8,4a Eunos Crescent; #01-10 Market Food Centre 402004,Malaysian,402004
Penang Ah Long Lor Bak,2.7,8 Sentosa Gateway; Level 01 Resorts World; Sentosa 098269,Malaysian,098269
Fu Chan Food Paradise,2.8,505 Canberra Link 750505,Asian,750505
Hong Li Seafood Garden,2.9,118 Depot Lane; #01-02 Industrial Estate 109754,Hokkien,109754
Shanghai Family Restaurant,2.8,749 Geylang Road 389655,Chinese,389655
Hao Xiang Seafood Garden,2.8,168 Punggol Field; #01-01 Punggol Plaza 820168,Seafood,820168
Kheng Fatt Hainanese Beef Noodle,2.9,505 Beach Road; #01-89 Golden Mile Food Centre 199583,Hainanese,199583
Lai Lai Kitchen,2.9,1 Jurong West Central 2; #03-08 Jurong Point 648886,Chinese,648886
Xin Kee Hainanese Chicken Rice,2.9,17 Upper Boon Keng Road; #01-20 Upper Boon Keng Market and Food Centre 380017,Seafood,380017
Aquamarine,4,6 Raffles Boulevard; Level 4 Marina Mandarin 039594,Asian,039594
Good Luck Kitchen,2.9,15 Woodlands Loop; #03-24 738322,Chinese,738322
Jologs Xpress,3,10 Sinaran Drive; #B1-121/123 Square 2; Novena 307506,Filipino,307506
Glory Catering,2.9,139 East Coast Road 428829,Peranakan,428829
Jia Xiang Mee Village,2.9,63 Jurong West Central 3; #03-90/9 Jurong Point; Jurong West 648331,Malaysian,648331
Straits Chinese Restaurant,2.6,133 Cecil Street; #B1-01 Keck Seng Tower 069535,Peranakan,069535
Lock Curry Rice,2.8,861 North Bridge Road; #01-109 Food Centre 198783,Chinese,198783
Shou La Shou Beijing Restaurant,2.9,63 Jurong West Central 3; #03-37a Jurong Point; Jurong West 648331,Chinese,648331
Zhu Chuan Bak Kut Teh,2.7,335 Smith Street; #02-124 Chinatown Complex Market 050335,Chinese,050335
Ang Mo Kio Curry Rice,2.8,341 Ang Mo Kio Avenue 1; #01-25 Teck Ghee Court,Seafood,Court
Selamat Datang,2.8,2 Adam Road; Adam Food Centre 289876,Indonesian,289876
Old Village Cafe,2.6,327 Upper Paya Lebar Road; Quemoy Building 534947,Peranakan,534947
Chuen Chuen,2.8,17 Upper East Coast Road; Crescendo Building 455208,Chinese,455208
Shan Tou Shi Teochew Fish Head Seafood,2.8,203 Hougang Street 21 530203,Seafood,530203
Tomikawa Japanese Food,2.8,7 Maxwell Road; #01-08 Amoy Street Food Centre 069111,Japanese,069111
Crystal Jade Viet Cafe,2.6,201 Victoria Street; #04-05 Bugis+; 188067,Chinese,188067
Magic Wok Restaurant,2.8,4 Changi Village Road; #01-2078 500004,Thai,500004
Hup Lee Fried Mee Hoon,2.7,127 Lorong 1 Toa Payoh; #02-35 Toa Payoh West Market; 310127,Chinese,310127
Le Restaurant & Bar,2.8,80/82 Telok Ayer Street; #01-01 Far East Square 048466,Chinese,048466
Keng Chye Eating House,2.7,7 Keppel Road; #01-16 Tanjong Pagar Complex 089053,Chinese,089053
Song Lee Teochew Fish Porridge,2.7,505 Jurong West Street 52; #01-32 Market and Food Centre 640505,Teochew,640505
